Country,Region,Year,VALUE
Belarus,Europe,1995,9.176332403
Brazil,Americas,1995,20.79321309
Barbados,Americas,1995,6.481041999
Bhutan,Asia,1995,3.032968366
Canada,Americas,1995,2.004136442
Switzerland,Europe,1995,1.165054558
China,Asia,1995,2.245710723
Colombia,Americas,1995,62.05431561
Costa Rica,Americas,1995,5.149941671
Cuba,Americas,1995,7.797411534
Cayman Islands,Americas,1995,6.097189196
Cyprus,Asia,1995,1.043578081
Czechia,Europe,1995,1.706798742
Germany,Europe,1995,2.504830211
Denmark,Europe,1995,1.126987198
Dominican Republic,Americas,1995,12.79582726
Ecuador,Americas,1995,11.86791343
Spain,Europe,1995,1.032285339
Estonia,Europe,1995,16.93311077
Finland,Europe,1995,2.858293446
Fiji,Oceania,1995,3.029362092
France,Europe,1995,2.326701086
United Kingdom (England and Wales),Europe,1995,1.29115362
United Kingdom (Northern Ireland),Europe,1995,1.334035926
United Kingdom (Scotland),Europe,1995,2.449208318
Georgia,Asia,1995,8.016112591
Greece,Europe,1995,1.407541271
Greenland,Americas,1995,19.71767869
Guatemala,Americas,1995,31.45779878
Guyana,Americas,1995,14.50066816
"China, Hong Kong Special Administrative Region",Asia,1995,1.169148759
Honduras,Americas,1995,26.3898905
Croatia,Europe,1995,3.453225437
Hungary,Europe,1995,2.866225694
India,Asia,1995,4.810432851
Ireland,Europe,1995,1.201291137
Iceland,Europe,1995,0
Israel,Asia,1995,2.044267518
Italy,Europe,1995,1.779023891
Jamaica,Americas,1995,31.08347427
Jordan,Asia,1995,0.785071088
Japan,Asia,1995,0.577196118
Kazakhstan,Asia,1995,14.88956893
Cambodia,Asia,1995,3.635688282
Kiribati,Oceania,1995,0
Saint Kitts and Nevis,Americas,1995,9.400705053
Republic of Korea,Asia,1995,0.502665608
Saint Lucia,Americas,1995,10.50227112
Liechtenstein,Europe,1995,0
Sri Lanka,Asia,1995,8.87907313
Lithuania,Europe,1995,13.39642641
Luxembourg,Europe,1995,0.490634403
Latvia,Europe,1995,11.2055673
"China, Macao Special Administrative Region",Asia,1995,2.01693723
Republic of Moldova,Europe,1995,9.010963788
Maldives,Asia,1995,0.774569339
Mexico,Americas,1995,17.35253317
Myanmar,Asia,1995,3.761644131
Montserrat,Americas,1995,0
Mauritius,Africa,1995,2.154786038
Malaysia,Asia,1995,1.966540212
Namibia,Africa,1995,23.23450467
Nicaragua,Americas,1995,14.97269442
Netherlands (Kingdom of the),Europe,1995,1.249460321
Norway,Europe,1995,0.963450142
New Zealand,Oceania,1995,1.061544253
Panama,Americas,1995,13.88036451
Poland,Europe,1995,2.22123975
Puerto Rico,Americas,1995,23.32017165
Portugal,Europe,1995,1.084442341
State of Palestine,Asia,1995,1.181787511
Romania,Europe,1995,3.363935083
Russian Federation,Europe,1995,30.46430818
Singapore,Asia,1995,1.523755776
Saint Helena,Africa,1995,0
El Salvador,Americas,1995,138.7739736
San Marino,Europe,1995,0
Slovakia,Europe,1995,2.392524706
Slovenia,Europe,1995,2.209827101
Sweden,Europe,1995,0.993321228
Turks and Caicos Islands,Americas,1995,6.622078008
Thailand,Asia,1995,7.643269014
Tajikistan,Asia,1995,7.352726163
Turkmenistan,Asia,1995,6.364419065
Tonga,Oceania,1995,2.00047011
United Republic of Tanzania,Africa,1995,6.904434221
Uganda,Africa,1995,8.26852654
Ukraine,Europe,1995,8.6308085
Uruguay,Americas,1995,5.953308606
United States of America,Americas,1995,8.132934872
Uzbekistan,Asia,1995,5.024709672
Saint Vincent and the Grenadines,Americas,1995,17.51712299
Venezuela (Bolivarian Republic of),Americas,1995,20.26933564
British Virgin Islands,Americas,1995,11.31573736
South Africa,Africa,1995,61.10341625
Anguilla,Americas,1996,0
Albania,Europe,1996,8.314658468
Armenia,Asia,1996,3.455699449
Antigua and Barbuda,Americas,1996,4.298117425
Australia,Oceania,1996,1.943789773
Austria,Europe,1996,1.244024754
Azerbaijan,Asia,1996,5.032014937
Belgium,Europe,1996,1.185392409
Bulgaria,Europe,1996,5.213431705
Bahrain,Asia,1996,1.264310413
Bahamas,Americas,1996,16.72501291
Belarus,Europe,1996,9.294340159
Bermuda,Americas,1996,6.684436126
Brazil,Americas,1996,23.42488192
Brunei Darussalam,Asia,1996,2.939293786
Bhutan,Asia,1996,2.232583061
Canada,Americas,1996,2.142337078
Switzerland,Europe,1996,1.174025852
China,Asia,1996,2.068796229
Colombia,Americas,1996,63.74108638
Costa Rica,Americas,1996,5.16925339
